timestep,alt_70km,alt_80km,alt_90km,alt_100km,alt_120km,alt_140km,alt_160km,alt_180km,alt_200km,alt_220km,alt_250km,alt_300km
0,0,0,0,0,0,0,0,0,0,0,0,0
100,10.1897,2.30412,0.453313,0.0737806,0.00291836,0.000529583,0.000197176,0.00011033,5.95188e-05,1.71301e-05,0,0
200,5.12021,2.46283,0.904188,0.156387,0.00146644,0.000266109,9.90787e-05,5.54395e-05,2.99075e-05,8.60767e-06,0,0
300,3.41914,3.12724,0.603794,0.104431,0.00191303,0.000177701,6.61622e-05,3.70211e-05,1.99714e-05,1.76106e-05,9.3905e-06,1.24972e-06
400,6.24304,2.34738,0.565551,0.0966745,0.00143597,0.000133386,4.96629e-05,2.77889e-05,1.4991e-05,2.04286e-05,7.04873e-06,9.38069e-07
500,4.99693,1.87884,0.52229,0.0773782,0.00293751,0.000106762,3.97501e-05,2.22422e-05,1.19988e-05,2.06909e-05,5.64179e-06,7.5083e-07
600,6.18421,1.56622,0.496243,0.0645033,0.00273855,0.000280406,3.31361e-05,3.47016e-05,2.50869e-05,2.28307e-05,4.70306e-06,1.84234e-06
700,5.30201,1.71217,0.556551,0.0836142,0.00234789,0.000240405,2.84092e-05,4.5562e-05,2.15082e-05,1.95739e-05,4.03215e-06,2.13588e-06
800,4.64009,1.49842,0.487069,0.0731755,0.00248715,0.000210392,3.83864e-05,4.6947e-05,1.8823e-05,2.24335e-05,3.52876e-06,1.86923e-06
900,4.12509,1.33211,0.43301,0.0650539,0.00241692,0.000223375,3.4126e-05,5.04047e-05,1.67339e-05,1.99436e-05,5.06589e-06,2.47868e-06
1000,3.713,1.4378,0.435759,0.0669391,0.00217547,0.00020106,5.1032e-05,5.04997e-05,1.50622e-05,1.99392e-05,4.5598e-06,3.30232e-06
1100,5.10994,1.53566,0.396181,0.0608592,0.00197788,0.000182798,6.25014e-05,4.5913e-05,1.57432e-05,1.81282e-05,6.70015e-06,3.00238e-06
1200,5.66581,1.4078,0.363193,0.0557918,0.00232854,0.00020951,6.62013e-05,4.68095e-05,2.1303e-05,1.82872e-05,7.82883e-06,3.12296e-06
1300,5.23031,1.69584,0.377063,0.0515035,0.00229721,0.000193407,7.0236e-05,5.04322e-05,2.38851e-05,1.68815e-05,7.22707e-06,2.88292e-06
1400,7.71653,1.73948,0.386596,0.0531346,0.00213324,0.000257613,6.52227e-05,4.68325e-05,2.21803e-05,1.56766e-05,6.71122e-06,2.67714e-06
1500,8.94982,1.62359,0.389711,0.054393,0.00199112,0.000240451,6.08774e-05,4.37124e-05,2.07026e-05,1.46322e-05,6.2641e-06,3.12282e-06
1600,8.39081,1.52218,0.365369,0.0509956,0.00204215,0.000225432,6.981e-05,4.69154e-05,1.94095e-05,1.37182e-05,5.87284e-06,2.92777e-06
1700,8.27433,1.43269,0.36736,0.0521315,0.00192209,0.000231503,7.827e-05,5.22089e-05,2.63917e-05,1.64793e-05,5.52758e-06,2.75565e-06
1800,9.26267,1.35314,0.346963,0.0492369,0.00181537,0.000249356,8.02143e-05,6.59759e-05,2.49263e-05,1.55643e-05,5.22067e-06,2.82363e-06
1900,8.77541,1.28196,0.328711,0.0466468,0.00181142,0.000262315,7.59947e-05,6.25053e-05,2.36151e-05,1.47455e-05,5.47479e-06,2.67509e-06
2000,9.72867,1.48629,0.312284,0.0443157,0.00172089,0.000277657,8.1476e-05,6.22643e-05,2.24349e-05,1.40086e-05,5.20118e-06,2.54141e-06
